<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BTSX.BTC/USD,60,20221009,130000,19398.0000000,19422.0000000,19384.0000000,19419.0000000,5
BTSX.BTC/USD,60,20221009,140000,19421.0000000,19524.0000000,19406.0000000,19493.0000000,16
BTSX.BTC/USD,60,20221009,150000,19494.0000000,19550.0000000,19465.0000000,19476.0000000,3
BTSX.BTC/USD,60,20221009,160000,19472.0000000,19549.0000000,19472.0000000,19502.0000000,53
BTSX.BTC/USD,60,20221009,170000,19503.0000000,19527.0000000,19470.0000000,19471.0000000,5
BTSX.BTC/USD,60,20221009,180000,19470.0000000,19530.0000000,19470.0000000,19504.0000000,9
BTSX.BTC/USD,60,20221009,190000,19505.0000000,19550.0000000,19504.0000000,19543.0000000,5
BTSX.BTC/USD,60,20221009,200000,19542.0000000,19560.0000000,19485.0000000,19508.0000000,9
BTSX.BTC/USD,60,20221009,210000,19509.0000000,19510.0000000,19477.0000000,19490.0000000,7
BTSX.BTC/USD,60,20221009,220000,19490.0000000,19526.0000000,19473.0000000,19525.0000000,4
BTSX.BTC/USD,60,20221009,230000,19526.0000000,19604.0000000,19369.0000000,19468.0000000,220
BTSX.BTC/USD,60,20221010,000000,19472.0000000,19488.0000000,19429.0000000,19488.0000000,19
BTSX.BTC/USD,60,20221010,010000,19481.0000000,19496.0000000,19451.0000000,19483.0000000,13
BTSX.BTC/USD,60,20221010,020000,19482.0000000,19482.0000000,19379.0000000,19399.0000000,12
BTSX.BTC/USD,60,20221010,030000,19400.0000000,19452.0000000,19379.0000000,19445.0000000,4
BTSX.BTC/USD,60,20221010,040000,19436.0000000,19521.0000000,19380.0000000,19493.0000000,21
BTSX.BTC/USD,60,20221010,050000,19511.0000000,19525.0000000,19467.0000000,19502.0000000,8
BTSX.BTC/USD,60,20221010,060000,19498.0000000,19500.0000000,19460.0000000,19472.0000000,5
BTSX.BTC/USD,60,20221010,070000,19470.0000000,19483.0000000,19430.0000000,19454.0000000,10
BTSX.BTC/USD,60,20221010,080000,19451.0000000,19475.0000000,19426.0000000,19471.0000000,7
BTSX.BTC/USD,60,20221010,090000,19465.0000000,19470.0000000,19390.0000000,19409.0000000,23
BTSX.BTC/USD,60,20221010,100000,19409.0000000,19435.0000000,19363.0000000,19396.0000000,17
BTSX.BTC/USD,60,20221010,110000,19394.0000000,19439.0000000,19391.0000000,19414.0000000,3
BTSX.BTC/USD,60,20221010,120000,19414.0000000,19421.0000000,19136.0000000,19235.0000000,100
BTSX.BTC/USD,60,20221010,130000,19234.0000000,19340.0000000,19231.0000000,19333.0000000,40
BTSX.BTC/USD,60,20221010,140000,19337.0000000,19351.0000000,19277.0000000,19281.0000000,12
BTSX.BTC/USD,60,20221010,150000,19287.0000000,19374.0000000,19285.0000000,19338.0000000,10
BTSX.BTC/USD,60,20221010,160000,19334.0000000,19430.0000000,19313.0000000,19421.0000000,28
BTSX.BTC/USD,60,20221010,170000,19430.0000000,19437.0000000,19300.0000000,19315.0000000,13
BTSX.BTC/USD,60,20221010,180000,19314.0000000,19394.0000000,19224.0000000,19258.0000000,50
BTSX.BTC/USD,60,20221010,190000,19253.0000000,19316.0000000,19229.0000000,19269.0000000,8
BTSX.BTC/USD,60,20221010,200000,19269.0000000,19288.0000000,19107.0000000,19139.0000000,97
BTSX.BTC/USD,60,20221010,210000,19139.0000000,19350.0000000,19122.0000000,19324.0000000,13
BTSX.BTC/USD,60,20221010,220000,19326.0000000,19326.0000000,19181.0000000,19216.0000000,15
BTSX.BTC/USD,60,20221010,230000,19221.0000000,19258.0000000,19190.0000000,19218.0000000,29
BTSX.BTC/USD,60,20221011,000000,19210.0000000,19257.0000000,19210.0000000,19240.0000000,21
BTSX.BTC/USD,60,20221011,010000,19245.0000000,19272.0000000,19225.0000000,19243.0000000,5
BTSX.BTC/USD,60,20221011,020000,19243.0000000,19249.0000000,19029.0000000,19137.0000000,101
BTSX.BTC/USD,60,20221011,030000,19136.0000000,19197.0000000,19125.0000000,19131.0000000,11
BTSX.BTC/USD,60,20221011,040000,19131.0000000,19131.0000000,18965.0000000,19042.0000000,71
BTSX.BTC/USD,60,20221011,050000,19036.0000000,19066.0000000,18963.0000000,19025.0000000,28
BTSX.BTC/USD,60,20221011,060000,19029.0000000,19056.0000000,18962.0000000,19056.0000000,38
BTSX.BTC/USD,60,20221011,070000,19051.0000000,19098.0000000,19035.0000000,19040.0000000,12
BTSX.BTC/USD,60,20221011,080000,19039.0000000,19075.0000000,19018.0000000,19041.0000000,2
BTSX.BTC/USD,60,20221011,090000,19041.0000000,19070.0000000,19024.0000000,19030.0000000,7
BTSX.BTC/USD,60,20221011,100000,19030.0000000,19118.0000000,19010.0000000,19050.0000000,43
BTSX.BTC/USD,60,20221011,110000,19054.0000000,19104.0000000,19026.0000000,19081.0000000,19
BTSX.BTC/USD,60,20221011,120000,19079.0000000,19145.0000000,19079.0000000,19108.0000000,34
BTSX.BTC/USD,60,20221011,130000,19107.0000000,19116.0000000,19036.0000000,19063.0000000,11
BTSX.BTC/USD,60,20221011,140000,19062.0000000,19100.0000000,19049.0000000,19090.0000000,10
BTSX.BTC/USD,60,20221011,150000,19091.0000000,19150.0000000,19070.0000000,19141.0000000,11
BTSX.BTC/USD,60,20221011,160000,19146.0000000,19265.0000000,19139.0000000,19142.0000000,103
BTSX.BTC/USD,60,20221011,170000,19141.0000000,19164.0000000,18982.0000000,19002.0000000,90
BTSX.BTC/USD,60,20221011,180000,18986.0000000,19088.0000000,18853.0000000,19032.0000000,136
BTSX.BTC/USD,60,20221011,190000,19032.0000000,19189.0000000,19032.0000000,19145.0000000,74
BTSX.BTC/USD,60,20221011,200000,19134.0000000,19182.0000000,19089.0000000,19152.0000000,112
BTSX.BTC/USD,60,20221011,210000,19153.0000000,19160.0000000,19106.0000000,19128.0000000,14
BTSX.BTC/USD,60,20221011,220000,19126.0000000,19137.0000000,18941.0000000,18967.0000000,58
BTSX.BTC/USD,60,20221011,230000,18970.0000000,19032.0000000,18925.0000000,18996.0000000,30
BTSX.BTC/USD,60,20221012,000000,18999.0000000,19056.0000000,18995.0000000,19019.0000000,5
BTSX.BTC/USD,60,20221012,010000,19025.0000000,19048.0000000,18994.0000000,19002.0000000,4
BTSX.BTC/USD,60,20221012,020000,19002.0000000,19058.0000000,18999.0000000,19037.0000000,1
BTSX.BTC/USD,60,20221012,030000,19038.0000000,19059.0000000,19008.0000000,19059.0000000,3
BTSX.BTC/USD,60,20221012,040000,19061.0000000,19125.0000000,19028.0000000,19091.0000000,27
BTSX.BTC/USD,60,20221012,050000,19094.0000000,19098.0000000,19033.0000000,19063.0000000,8
BTSX.BTC/USD,60,20221012,060000,19062.0000000,19077.0000000,19033.0000000,19065.0000000,6
BTSX.BTC/USD,60,20221012,070000,19069.0000000,19082.0000000,19045.0000000,19048.0000000,5
BTSX.BTC/USD,60,20221012,080000,19048.0000000,19120.0000000,19045.0000000,19097.0000000,6
BTSX.BTC/USD,60,20221012,090000,19101.0000000,19136.0000000,19073.0000000,19115.0000000,5
BTSX.BTC/USD,60,20221012,100000,19112.0000000,19196.0000000,19091.0000000,19152.0000000,44
BTSX.BTC/USD,60,20221012,110000,19148.0000000,19163.0000000,19087.0000000,19113.0000000,5
BTSX.BTC/USD,60,20221012,120000,19113.0000000,19154.0000000,19092.0000000,19143.0000000,44
BTSX.BTC/USD,60,20221012,130000,19144.0000000,19199.0000000,19136.0000000,19174.0000000,10
BTSX.BTC/USD,60,20221012,140000,19172.0000000,19186.0000000,19127.0000000,19153.0000000,6
BTSX.BTC/USD,60,20221012,150000,19151.0000000,19167.0000000,19113.0000000,19115.0000000,7
BTSX.BTC/USD,60,20221012,160000,19118.0000000,19172.0000000,18967.0000000,19077.0000000,22
BTSX.BTC/USD,60,20221012,170000,19073.0000000,19149.0000000,19036.0000000,19118.0000000,47
BTSX.BTC/USD,60,20221012,180000,19132.0000000,19134.0000000,19062.0000000,19091.0000000,20
BTSX.BTC/USD,60,20221012,190000,19089.0000000,19150.0000000,19089.0000000,19137.0000000,41
BTSX.BTC/USD,60,20221012,200000,19143.0000000,19149.0000000,19081.0000000,19097.0000000,21
BTSX.BTC/USD,60,20221012,210000,19099.0000000,19113.0000000,19070.0000000,19087.0000000,2
BTSX.BTC/USD,60,20221012,220000,19100.0000000,19155.0000000,19048.0000000,19114.0000000,35
BTSX.BTC/USD,60,20221012,230000,19116.0000000,19175.0000000,19102.0000000,19140.0000000,25
BTSX.BTC/USD,60,20221013,000000,19143.0000000,19168.0000000,19134.0000000,19168.0000000,9
BTSX.BTC/USD,60,20221013,010000,19167.0000000,19191.0000000,19164.0000000,19180.0000000,7
BTSX.BTC/USD,60,20221013,020000,19183.0000000,19229.0000000,19154.0000000,19157.0000000,13
BTSX.BTC/USD,60,20221013,030000,19154.0000000,19172.0000000,19143.0000000,19157.0000000,10
BTSX.BTC/USD,60,20221013,040000,19156.0000000,19171.0000000,19130.0000000,19149.0000000,2
BTSX.BTC/USD,60,20221013,050000,19142.0000000,19155.0000000,19095.0000000,19109.0000000,3
BTSX.BTC/USD,60,20221013,060000,19105.0000000,19111.0000000,19017.0000000,19086.0000000,4
BTSX.BTC/USD,60,20221013,070000,19087.0000000,19112.0000000,19078.0000000,19089.0000000,7
BTSX.BTC/USD,60,20221013,080000,19088.0000000,19095.0000000,19069.0000000,19093.0000000,10
BTSX.BTC/USD,60,20221013,090000,19086.0000000,19110.0000000,19053.0000000,19089.0000000,10
BTSX.BTC/USD,60,20221013,100000,19089.0000000,19099.0000000,19043.0000000,19061.0000000,1
BTSX.BTC/USD,60,20221013,110000,19060.0000000,19060.0000000,18955.0000000,19009.0000000,28
