<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NFLX-RM,60,20220114,130000,39478.0000000,39695.0000000,39478.0000000,39664.0000000,30
NFLX-RM,60,20220114,140000,39590.0000000,39590.0000000,39479.0000000,39590.0000000,43
NFLX-RM,60,20220114,150000,39715.0000000,39910.0000000,39690.0000000,39910.0000000,42
NFLX-RM,60,20220114,160000,39769.0000000,39851.0000000,39415.0000000,39415.0000000,20
NFLX-RM,60,20220114,170000,39400.0000000,39628.0000000,39400.0000000,39451.0000000,75
NFLX-RM,60,20220114,180000,39400.0000000,39659.0000000,38970.0000000,39609.0000000,57
NFLX-RM,60,20220114,190000,39600.0000000,39600.0000000,39180.0000000,39180.0000000,27
NFLX-RM,60,20220114,200000,39073.0000000,39613.0000000,39073.0000000,39475.0000000,33
NFLX-RM,60,20220114,210000,39462.0000000,39462.0000000,39300.0000000,39300.0000000,9
NFLX-RM,60,20220114,220000,39450.0000000,39450.0000000,39273.0000000,39351.0000000,34
NFLX-RM,60,20220114,230000,39510.0000000,39510.0000000,39324.0000000,39348.0000000,7
NFLX-RM,60,20220115,000000,39356.0000000,40844.0000000,39356.0000000,40449.0000000,775
NFLX-RM,60,20220118,080000,40006.0000000,40019.0000000,39870.0000000,40019.0000000,21
NFLX-RM,60,20220118,090000,40019.0000000,40019.0000000,39942.0000000,39942.0000000,10
NFLX-RM,60,20220118,100000,39981.0000000,40015.0000000,39948.0000000,40015.0000000,8
NFLX-RM,60,20220118,110000,40045.0000000,40126.0000000,40016.0000000,40049.0000000,26
NFLX-RM,60,20220118,120000,40049.0000000,40049.0000000,39928.0000000,39948.0000000,40
NFLX-RM,60,20220118,130000,39783.0000000,39783.0000000,39590.0000000,39747.0000000,66
NFLX-RM,60,20220118,140000,39783.0000000,39859.0000000,39783.0000000,39790.0000000,75
NFLX-RM,60,20220118,150000,39690.0000000,39753.0000000,39690.0000000,39704.0000000,31
NFLX-RM,60,20220118,160000,39816.0000000,39884.0000000,39734.0000000,39869.0000000,73
NFLX-RM,60,20220118,170000,39836.0000000,39836.0000000,39675.0000000,39810.0000000,60
NFLX-RM,60,20220118,180000,39810.0000000,39969.0000000,39418.0000000,39538.0000000,199
NFLX-RM,60,20220118,190000,39538.0000000,39854.0000000,39538.0000000,39561.0000000,84
NFLX-RM,60,20220118,200000,39450.0000000,39477.0000000,39301.0000000,39449.0000000,154
NFLX-RM,60,20220118,210000,39400.0000000,39507.0000000,39311.0000000,39320.0000000,75
NFLX-RM,60,20220118,220000,39299.0000000,39399.0000000,39215.0000000,39297.0000000,50
NFLX-RM,60,20220118,230000,39297.0000000,39476.0000000,39297.0000000,39476.0000000,5
